Year,State,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
2015,AK,28711,100186,22.2743741126636,5.340366800824995
2015,AL,105490,687724,13.29905927025998,-3.6349480415786264
2015,AR,75176,407571,15.57254628200693,-1.3614610298316752
2015,AZ,541433,1928812,21.918190300962053,4.984182989123447
2015,CA,1680575,10465927,13.835876370003481,-3.098130941835125
2015,CO,346120,994806,25.81201348918583,8.878006177347224
2015,CT,305176,894961,25.428430254212643,8.494422942374037
2015,DC,30410,222124,12.041942867099085,-4.892064444739521
2015,DE,110375,219612,33.44828735677466,16.51428004493605
2015,FL,589909,2946617,16.68046551898671,-0.2535417928518946
2015,GA,322196,1654360,16.300878902495047,-0.6331284093435592
2015,HI,70518,315812,18.25330675847074,1.319299446632133
2015,IA,153578,635794,19.455719229970153,2.5217119181315475
2015,ID,74637,202233,26.957416838227328,10.023409526388722
2015,IL,367250,2416596,13.192180889316434,-3.7418264225221716
2015,IN,268658,1542271,14.835369028824433,-2.098638283014173
2015,KS,100139,295598,25.304431983868074,8.370424672029468
2015,KY,252421,2847953,8.141630654882281,-8.792376656956325
2015,LA,210314,1163079,15.313460895752346,-1.6205464160862597
2015,MA,307612,1160152,20.957865160884175,4.023857849045569
2015,MD,556571,1224427,31.25051235318625,14.316505041347643
2015,ME,79071,190643,29.316609445560854,12.382602133722248
2015,MI,535385,3605961,12.927801734025604,-4.006205577813002
2015,MN,297799,1136581,20.761513685355347,3.8275063735167407
2015,MO,292242,1107085,20.88446803356185,3.9504607217232426
2015,MS,67405,654763,9.333700745532896,-7.60030656630571
2015,MT,43244,112599,27.748439134256913,10.814431822418307
2015,NC,529026,1536356,25.613954222511865,8.679946910673259
2015,ND,31223,77129,28.81626550502067,11.882258193182064
2015,NE,53731,240085,18.28729545021374,1.3532881383751345
2015,NH,66807,150277,30.774723148642924,13.840715836804318
2015,NJ,431077,1950534,18.1002271151754,1.1662198033367943
2015,NM,156670,683161,18.654943673191394,1.7209363613527877
2015,NV,184809,701666,20.84762683662822,3.9136195247896133
2015,NY,736268,6818910,9.745210503313093,-7.188796808525513
2015,OH,836289,4593890,15.400763031936885,-1.5332442799017212
2015,OK,158781,587823,21.26709741710465,4.333090105266045
2015,OR,421605,1205281,25.91484590807223,8.980838596233625
2015,PA,830204,2943220,22.001344137314018,5.067336825475412
2015,RI,48877,288485,14.487998055501212,-2.446009256337394
2015,SC,89865,409936,17.980156102128646,1.0461487902900402
2015,SD,27174,57991,31.907473727470204,14.973466415631599
2015,TN,238807,1649346,12.64765090540862,-4.286356406429986
2015,TX,437230,3376510,11.464599054995883,-5.469408256842723
2015,UT,106579,300368,26.189896964469572,9.255889652630966
2015,VA,254990,878375,22.498489012806996,5.56448170096839
2015,VT,55441,141459,28.156932453021838,11.222925141183232
2015,WA,428203,1740810,19.74183649429487,2.8078291824562633
2015,WI,406802,1265419,24.327047680898637,7.3930403690600315
2015,WV,221313,1014175,17.913002797275247,0.9789954854366414
2015,WY,17171,44678,27.76277708612912,10.828769774290514
2015,XX,14831523,72488186,16.98530969680625,0.051302384967645054
