State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean
NY,1991,1905,114985,1.6297373599110276,0.11202469195478293
NY,1992,1833,110933,1.6254899526453008,0.058810711901727375
NY,1993,2313,258924,0.8854029100012633,-0.5604763154284291
NY,1994,2508,140783,1.75028438631875,-0.18690661850085455
NY,1995,4387,343070,1.2626022788431375,-0.304663540521263
NY,1996,5338,378959,1.389029838900642,-0.7166939217673971
NY,1997,6479,491671,1.300612265381913,-2.0055551996211722
NY,1998,7172,756615,0.9390052462270241,-1.9044738584942502
NY,1999,8316,1046496,0.7883869353022149,-2.1590630726878604
NY,2000,11962,1134919,1.0430027178059451,-2.571909777690328
NY,2001,18189,1365976,1.3140774401895727,-3.090918515223305
NY,2002,48343,1696926,2.7699454926432545,-4.274570515641988
NY,2003,101825,1980790,4.88928582575272,-3.42982397418898
NY,2004,110571,2110165,4.979024971901207,-4.0437096333431
NY,2005,149531,2528225,5.58419064321021,-5.9892197250802806
NY,2006,115852,1869710,5.834720849814813,-7.75972705052469
NY,2007,146076,1842046,7.347436424927645,-11.514262198333304
NY,2008,201611,2022266,9.065744193586246,-10.18403941243495
NY,2009,264435,2835067,8.531531839631011,-8.953373183859142
NY,2010,429552,3815567,10.118726942636943,-8.540354177901666
NY,2011,596582,4491685,11.724659889113523,-8.741325670101107
NY,2012,711801,4886990,12.713476891707511,-8.241656473172359
NY,2013,698400,5648921,11.003067278305288,-9.160707118277337
NY,2014,711679,6287572,10.167930825741212,-7.77925128365608
NY,2015,736268,6818910,9.745210503313093,-7.188796808525513
NY,2016,697914,6938485,9.139307676301357,-6.911324938340453
NY,2017,154025,1641229,8.579565899867093,-6.3209196229214655
