State,Year,Narcotic,NonNarcotic,Percentage,From.Yearly.Mean,Yearly.Mean
IA,1991,249,17373,1.4130064691862445,-0.1047061987700002,1.5177126679562447
IA,1992,378,23805,1.5630815035355416,-0.0035977372080318037,1.5666792407435735
IA,1993,262,20984,1.233173303210016,-0.21270592221967632,1.4458792254296924
IA,1994,547,33421,1.6103391427225624,-0.3268518620970422,1.9371910048196046
IA,1995,324,30638,1.0464440281635554,-0.520821791200845,1.5672658193644005
IA,1996,1106,43557,2.4763226832053378,0.37059892253729876,2.105723760668039
IA,1997,1486,35056,4.066553554813639,0.7603860898105541,3.3061674650030852
IA,1998,2095,64464,3.147583347105575,0.3041042423843008,2.843479104721274
IA,1999,609,18864,3.12740717917116,0.17995717118108479,2.947450007990075
IA,2000,1899,42480,4.279050902453863,0.6641384069575902,3.6149124954962732
IA,2001,3770,77160,4.658346719387125,0.2533507639742467,4.404995955412878
IA,2002,10543,119987,8.077070405270819,1.0325543969855762,7.0445160082852425
IA,2003,17282,140240,10.9711659323777,2.652056132436,8.3191097999417
IA,2004,21838,159510,12.042040717294924,3.019306112050616,9.022734605244308
IA,2005,28017,172373,13.981236588652129,2.4078262203616383,11.57341036829049
IA,2006,16085,115202,12.251784258913679,-1.3426636414258244,13.594447900339503
IA,2007,21377,112524,15.964779949365576,-2.8969186738953727,18.86169862326095
IA,2008,31297,123429,20.22736967284102,0.9775860668198249,19.249783606021197
IA,2009,42899,212688,16.784499994131156,-0.700405029358997,17.484905023490153
IA,2010,57558,250297,18.696464244530706,0.037383123992096756,18.65908112053861
IA,2011,70782,282698,20.02432952359398,-0.4416560356206496,20.46598555921463
IA,2012,77645,311611,19.947027149228273,-1.0081062156515976,20.95513336487987
IA,2013,82696,338293,19.64326858896551,-0.5205058076171163,20.163774396582625
IA,2014,145256,551873,20.83631580381823,2.889133694420938,17.947182109397293
IA,2015,153578,635794,19.455719229970153,2.5217119181315475,16.934007311838606
IA,2016,115118,485233,19.17511589053737,3.1244832758955603,16.05063261464181
IA,2017,23647,88461,21.093053127341495,6.192567604552936,14.900485522788559
